0|56.5|214.8|175.6|69.8|36.7|54.2|46.9|48.5|54.2|286.9|56|33.4|11.1|179|62.3|39.8|10.7|39.1|59.5|39.8|21|28.3|50.2|137.9|38.6|191.7|62|39.1|153.9|45.7
56.7|0|207.3|172.7|62.3|16.5|90.7|65|91.2|72.2|336.1|107.5|79.1|43.6|148.3|111.9|28.3|62.2|27.6|77.6|15.7|72.5|79.8|18.6|110|31.7|160.9|54.6|32.2|116|11.6
217.1|210.1|0|367.7|152.1|198.3|261.7|183.1|256.1|191|498.6|256.9|242.6|220|343.2|205.6|193.1|222.5|192.5|186.8|198.8|232.8|229.1|216.4|305|194.4|355.9|157.5|194.9|311|199.4
178.9|170.2|368.4|0|223.3|173.3|153.6|210.8|176.5|218|382.8|194.3|179|174.7|189.5|224.1|189.3|169.2|188.6|223.4|180|170.5|182.9|164.4|135|192.7|174.6|215.6|193.2|179.3|173.4
68.7|61.7|154.5|219.3|0|49.9|113.3|34.9|107.7|35.5|350.3|108.5|94.3|71.6|194.8|70.3|44.8|74.1|44.1|33.2|50.5|84.4|80.7|68.1|156.6|46|207.5|9.3|46.5|162.6|51
37.8|18.5|197.3|170.1|52.3|0|81.6|49|73.6|56.2|318.4|88.5|60.1|29.1|145.6|94.2|18.2|43.2|17.5|61.6|5.2|53.5|60.8|18.9|107.4|26.3|158.3|44.6|26.8|113.4|8.7
57.1|90.3|261.6|152.8|116.7|82.4|0|85|26.7|92.3|252|42.7|29.2|53.9|209.1|85.1|86.6|48.2|86|97.7|83.8|42.5|33.1|84.4|167.9|85.5|221.7|108.9|86|183.9|89.4
49|72.2|183.3|213.5|38.2|60.4|88.9|0|83.2|12.7|321.6|87.3|73.6|51|197.4|55.5|55.3|51|54.7|18|60.9|56|59.5|68.5|156.2|47.7|210|30.5|48.2|172.2|61.5
50.1|88.5|258.9|173.8|113.9|73.8|23.5|78|0|85.3|253.3|42.6|22.3|47|207.3|78.1|83.9|46.5|83.2|90.7|76.9|35.5|26.1|82.7|166.1|82.7|219.9|106.1|83.2|182.1|87.7
51.7|74.8|189.9|216.1|35.9|63|91.6|12.7|85.9|0|324.3|89.9|76.3|53.6|200|46.2|58|53.7|57.3|8.6|63.6|58.7|62.1|71.1|158.9|50.4|212.7|34.7|50.9|174.8|64.2
289.8|334.2|498.6|381.3|353.6|319.5|252.2|317.7|253.1|325|0|246.9|268|292.7|453|308.3|323.6|280.9|322.9|330.4|322.6|275|265.9|328.5|411.8|322.4|465.6|345.8|322.9|427.8|333.4
58.7|123|257.9|192.6|112.9|89.3|42.4|83.7|44.2|91|246.1|0|56.8|63.9|241.7|69.8|92.5|46.3|91.8|96.4|92.4|37.1|28.6|117.2|200.6|91.3|254.4|105.2|91.9|216.6|122.2
40.8|87.8|245.8|173.2|100.9|64.8|22.9|75.9|17.2|83.1|262.1|50.7|0|38.1|206.6|76|70.8|32.4|70.1|88.5|68|33.3|24|82.1|165.5|69.6|219.3|93.1|70.1|181.4|87
13.3|42.8|217.2|172|72.3|29.7|60.5|45.4|50|52.7|294.9|64.1|36.5|0|161.6|71.3|42.2|18.7|41.6|58.1|33.1|29.1|36.3|37|120.4|41.1|174.2|64.5|41.6|136.4|42
178.4|145.1|339.2|188.5|194.2|144.1|207.5|189.7|208|197|452.8|229.2|202.1|160.4|0|234.9|160.1|183.9|159.4|202.3|150.8|194.2|201.4|135.2|59.6|163.5|42.9|186.5|164|34.3|144.2
60.8|114.6|205.1|233.8|75.5|102.8|83.5|51.3|77.9|41.7|306.9|85.5|78.5|71.7|238.7|0|97.7|57.3|97|36.9|103.3|53.1|54.1|109.8|197.5|98.2|251.3|80.9|98.7|213.5|103.9
43.6|31|193|188.5|48|19.1|88.1|50.6|82.5|57.9|325.1|94.3|69|46.4|164.1|97.6|0|49|3.4|63.3|19.7|59.3|66.5|37.3|125.8|16.3|176.7|40.3|16.8|131.8|20.3
8.9|63.7|222.1|170.4|77.1|43.9|52.3|46.6|46.6|53.8|281.6|47.9|31.5|18.5|186.4|58.6|47.1|0|46.4|59.2|47|11.2|20.2|57.5|145.2|45.9|199|69.3|46.4|161.2|52.9
41.4|28.7|190.7|186.2|45.7|16.9|85.8|48.4|80.2|55.6|322.9|92|66.8|44.1|161.8|95.3|1|46.7|0|61|17.4|57|64.3|35|123.6|14|174.4|38|14.5|129.5|18
53.8|77|184.7|218.3|38.5|65.2|93.7|14.9|88|6.2|326.4|92.1|78.4|55.8|202.2|37.4|60.1|55.8|59.5|0|65.7|60.8|64.3|73.3|161|52.5|214.8|44.7|53|177|66.3
41.9|17|196.5|174.1|51.5|4.9|85.7|54.1|77.7|61.3|322.6|92.7|64.2|33.3|149.7|101|17.5|47.4|16.8|66.7|0|57.7|64.9|26.1|111.4|22.2|162.3|43.8|22.7|117.4|9
17.6|74.1|232.5|169.3|87.6|54.3|42.1|49.9|36.4|57.1|274.7|37|26.7|29|196.8|53.1|57.5|9.4|56.9|62.5|57.5|0|9.2|67.9|155.7|56.4|209.5|79.8|56.9|171.6|63.4
30.2|80.6|229.3|181.1|84.3|60.8|30.7|55.1|25.1|62.4|263.4|29.4|29.6|35.4|203.3|55.2|64|17.8|63.3|67.8|63.9|8.6|0|74.4|162.1|62.8|215.9|76.6|63.4|178.1|69.8
50.8|21|215|161.5|70|22.7|79.9|62.1|80.3|69.3|325.2|101.5|74.5|32.7|145.5|107.2|35.9|56.2|35.3|74.7|26.6|66.5|73.8|0|104.4|39.3|158.2|62.3|39.8|105.3|20.2
137.4|105|299|129.7|154|103.9|166.5|148.7|167|155.9|411.8|188.2|161.1|119.4|61.6|193.9|119.9|142.9|119.3|161.3|110.6|153.2|160.4|95|0|123.3|46.3|146.3|123.8|51|104.1
